127.0.0.1, 2018-10-24 19:39:30, GET, /admin/static/_2.17.2/js/web2py.js, HTTP/1.1, 200, 0.202473
127.0.0.1, 2018-10-24 19:39:30, GET, /admin/static/_2.17.2/css/bootstrap.min.css, HTTP/1.1, 200, 0.153432
127.0.0.1, 2018-10-24 19:39:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000258
127.0.0.1, 2018-10-24 19:39:36, POST, /admin/default/index, HTTP/1.1, 303, 0.010833
127.0.0.1, 2018-10-24 19:39:36, GET, /admin/default/site, HTTP/1.1, 200, 0.059918
127.0.0.1, 2018-10-24 19:39:37, GET, /admin/static/_2.17.2/images/folder.png, HTTP/1.1, 200, 0.000865
127.0.0.1, 2018-10-24 19:39:37, GET, /admin/static/_2.17.2/images/folder_locked.png, HTTP/1.1, 200, 0.007084
127.0.0.1, 2018-10-24 19:39:37, GET, /admin/static/_2.17.2/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.023944
127.0.0.1, 2018-10-24 19:39:39, POST, /admin/default/check_version, HTTP/1.1, 200, 2.721069
127.0.0.1, 2018-10-24 19:39:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000297
127.0.0.1, 2018-10-24 19:40:15, GET, /start/default/index, HTTP/1.1, 200, 0.027098
127.0.0.1, 2018-10-24 19:40:15, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.003621
127.0.0.1, 2018-10-24 19:40:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000268
127.0.0.1, 2018-10-24 19:40:17, GET, /start/default/add, HTTP/1.1, 303, 0.016800
127.0.0.1, 2018-10-24 19:40:17, GET, /start/default/user/login, HTTP/1.1, 200, 0.025622
127.0.0.1, 2018-10-24 19:40:17, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.000750
127.0.0.1, 2018-10-24 19:40:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000349
127.0.0.1, 2018-10-24 19:40:30, POST, /start/default/user/login, HTTP/1.1, 303, 0.032016
127.0.0.1, 2018-10-24 19:40:30, GET, /start/default/user/login, HTTP/1.1, 200, 0.027359
127.0.0.1, 2018-10-24 19:40:30, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.002509
127.0.0.1, 2018-10-24 19:40:30, GET, /favicon.ico, HTTP/1.1, 400, 0.001279
127.0.0.1, 2018-10-24 19:40:31, GET, /start/default/user/register, HTTP/1.1, 200, 0.026827
127.0.0.1, 2018-10-24 19:40:32, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.000738
127.0.0.1, 2018-10-24 19:40:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000448
127.0.0.1, 2018-10-24 19:40:57, POST, /start/default/user/register, HTTP/1.1, 500, 0.069132
127.0.0.1, 2018-10-24 19:40:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000344
127.0.0.1, 2018-10-24 19:40:59, GET, /admin/default/ticket/start/127.0.0.1.2018-10-24.19-40-57.33c51c42-6a48-4740-8ab4-f8c25361a6de, HTTP/1.1, 200, 0.080664
127.0.0.1, 2018-10-24 19:40:59, GET, /admin/static/_2.17.2/images/help.png, HTTP/1.1, 200, 0.000782
127.0.0.1, 2018-10-24 19:40:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000291
127.0.0.1, 2018-10-24 19:48:41, GET, /, HTTP/1.1, 303, 0.007127
127.0.0.1, 2018-10-24 19:48:42, GET, /welcome/default/index, HTTP/1.1, 500, 0.823405
127.0.0.1, 2018-10-24 19:48:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000268
127.0.0.1, 2018-10-24 19:48:56, GET, /admin/default/ticket/welcome/127.0.0.1.2018-10-24.19-48-41.8bb9f233-55da-4a94-9237-be1b96ef157a, HTTP/1.1, 303, 0.335938
127.0.0.1, 2018-10-24 19:48:56, GET, /admin/default/index, HTTP/1.1, 200, 0.056923
127.0.0.1, 2018-10-24 19:48:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000537
127.0.0.1, 2018-10-24 19:49:00, POST, /admin/default/index, HTTP/1.1, 303, 0.015453
127.0.0.1, 2018-10-24 19:49:00, GET, /admin/default/ticket/welcome/127.0.0.1.2018-10-24.19-48-41.8bb9f233-55da-4a94-9237-be1b96ef157a, HTTP/1.1, 200, 0.089241
127.0.0.1, 2018-10-24 19:49:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000398
127.0.0.1, 2018-10-24 19:49:04, GET, /admin/default/site, HTTP/1.1, 200, 0.053910
127.0.0.1, 2018-10-24 19:49:05, POST, /admin/default/check_version, HTTP/1.1, 200, 0.380763
127.0.0.1, 2018-10-24 19:49:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000412
127.0.0.1, 2018-10-24 19:49:07, GET, /start/default/index, HTTP/1.1, 500, 0.234502
127.0.0.1, 2018-10-24 19:49:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000748
127.0.0.1, 2018-10-24 19:49:09, GET, /admin/default/ticket/start/127.0.0.1.2018-10-24.19-49-06.279b33f0-ed0b-47e4-bb45-8544ac4c1288, HTTP/1.1, 200, 0.076538
127.0.0.1, 2018-10-24 19:49:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000338
127.0.0.1, 2018-10-25 21:07:30, GET, /, HTTP/1.1, 303, 0.015480
127.0.0.1, 2018-10-25 21:07:31, GET, /welcome/default/index, HTTP/1.1, 500, 0.718477
127.0.0.1, 2018-10-25 21:07:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000551
127.0.0.1, 2018-10-25 21:10:27, GET, /, HTTP/1.1, 303, 0.011046
127.0.0.1, 2018-10-25 21:10:28, GET, /welcome/default/index, HTTP/1.1, 200, 0.416352
127.0.0.1, 2018-10-25 21:10:28, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001367
127.0.0.1, 2018-10-25 21:10:28, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002405
127.0.0.1, 2018-10-25 21:10:28, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002714
127.0.0.1, 2018-10-25 21:10:28, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.002291
127.0.0.1, 2018-10-25 21:10:28, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.007314
127.0.0.1, 2018-10-25 21:10:28, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000940
127.0.0.1, 2018-10-25 21:10:28, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000889
127.0.0.1, 2018-10-25 21:10:28, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.033183
127.0.0.1, 2018-10-25 21:10:28, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.072362
127.0.0.1, 2018-10-25 21:10:28, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000392
127.0.0.1, 2018-10-25 21:10:44, GET, /admin/default/site, HTTP/1.1, 303, 0.337315
127.0.0.1, 2018-10-25 21:10:45, GET, /admin/default/index, HTTP/1.1, 200, 0.053392
127.0.0.1, 2018-10-25 21:10:45, GET, /admin/static/_2.17.2/css/calendar.css, HTTP/1.1, 200, 0.000758
127.0.0.1, 2018-10-25 21:10:45, GET, /admin/static/_2.17.2/js/calendar.js, HTTP/1.1, 200, 0.000934
127.0.0.1, 2018-10-25 21:10:45, GET, /admin/static/_2.17.2/js/web2py.js, HTTP/1.1, 200, 0.000661
127.0.0.1, 2018-10-25 21:10:45, GET, /admin/static/_2.17.2/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.002336
127.0.0.1, 2018-10-25 21:10:45, GET, /admin/static/_2.17.2/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.015260
127.0.0.1, 2018-10-25 21:10:45, GET, /admin/static/_2.17.2/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001025
127.0.0.1, 2018-10-25 21:10:45, GET, /admin/static/_2.17.2/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000770
127.0.0.1, 2018-10-25 21:10:45, GET, /admin/static/_2.17.2/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.007919
127.0.0.1, 2018-10-25 21:10:45, GET, /admin/static/_2.17.2/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001672
127.0.0.1, 2018-10-25 21:10:45, GET, /admin/static/_2.17.2/js/jquery.js, HTTP/1.1, 200, 0.065045
